,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,uri,duration_ms
0,0.831,0.8140000000000001,-7.364,0.42,0.0598,0.0556,0.389,156.985,spotify:track:2Vc6NJ9PW9gD9q343XFRKx,124539
1,0.7190000000000001,0.493,-7.23,0.0794,0.401,0.118,0.124,115.08,spotify:track:7pgJBLVz5VmnL7uGHmRj6p,224427
2,0.85,0.893,-4.783,0.0623,0.0138,0.372,0.0391,218.05,spotify:track:0vSWgAlfpye0WCGeNmuNhy,98821
3,0.476,0.7809999999999999,-4.71,0.103,0.0237,0.114,0.175,186.948,spotify:track:0VSXnJqQkwuH2ei1nOQ1nu,123661
4,0.7979999999999999,0.624,-7.667999999999999,0.293,0.217,0.166,0.591,147.988,spotify:track:4jCeguq9rMTlbMmPHuO7S3,123298
5,0.721,0.568,-11.295,0.414,0.0452,0.128,0.109,144.915,spotify:track:6fsypiJHyWmeINsOLC1cos,112511
6,0.718,0.6679999999999999,-4.162,0.1369999999999999,0.0254,0.124,0.038,130.826,spotify:track:0XfQbq7DaMOmVXgQ71eA6E,77584
7,0.6940000000000001,0.711,-5.525,0.221,0.0397,0.1119999999999999,0.283,138.049,spotify:track:0LLeuNBWPOg3XA73yab3PT,127524
8,0.774,0.7509999999999999,-2.445,0.198,0.0614,0.0728,0.1889999999999999,219.96,spotify:track:37gqBnUAZe8BY8WR56kDNk,140326
9,0.893,0.907,-10.406,0.367,0.152,0.5579999999999999,0.302,199.942,spotify:track:2ggqfj97qyiORmXoVFzP5j,121979
10,0.8640000000000001,0.365,-10.219,0.0655,0.187,0.1159999999999999,0.0478,189.938,spotify:track:7EL7ifncK2PWFYThJjzR25,101172
11,0.736,0.932,-3.726,0.271,0.146,0.182,0.18,124.514,spotify:track:0QiF3l617bIKVrkBqgdMHE,115775
12,0.825,0.7609999999999999,-5.388999999999999,0.104,0.0111,0.3339999999999999,0.161,149.97,spotify:track:5o7ZDvfOry1MNhNLBOJulo,163371
13,0.767,0.5760000000000001,-9.683,0.256,0.145,0.0968,0.187,139.99,spotify:track:1umsRbM7L4ju7rn9aU8Ju6,96062
14,0.765,0.726,-5.58,0.191,0.0077,0.619,0.27,128.014,spotify:track:4SKqOHKYU5pgHr5UiVKiQN,135079
15,0.617,0.541,-4.113,0.78,0.125,0.369,0.43,159.996,spotify:track:4Ag89Y7qSUrpxcgRtSzSam,107999
16,0.755,0.298,-15.032,0.0915,0.154,0.1009999999999999,0.0372,199.958,spotify:track:28xkYPSP0P5xu5vT6MQfCy,123054
17,0.8140000000000001,0.575,-9.635,0.0635,0.172,0.109,0.288,120.004,spotify:track:3uE1swbcRp5BrO64UNy6Ex,192833
18,0.812,0.813,-5.582999999999999,0.0984,0.0987,0.0758,0.348,128.066,spotify:track:3KJrwOuqiEwHq6QTreZT61,180880
19,0.8490000000000001,0.648,-6.188,0.0832,0.0725,0.0984,0.196,212.15,spotify:track:4irYeuAi87yyGHcI4h9s0x,111020
20,0.602,0.578,-5.61,0.0283,0.0343,0.1639999999999999,0.156,114.956,spotify:track:4QhUXx4ON40TIBrZIlnIke,186261
21,0.8759999999999999,0.768,-6.606,0.201,0.1119999999999999,0.283,0.72,111.958,spotify:track:09320vyX4qHd4GjHIpy5w0,124676
22,0.777,0.711,-3.902,0.1369999999999999,0.312,0.205,0.293,139.97299999999998,spotify:track:2SZLtfY7dz7NLSxxnvDDis,153685
23,0.8290000000000001,0.59,-7.818,0.263,0.0391,0.114,0.332,112.97,spotify:track:0KRKqIJPX6LT9v1ZQGbfn7,127128
24,0.7829999999999999,0.929,0.551,0.0893,0.2,0.6890000000000001,0.152,118.03,spotify:track:0jsbEBnXWgHLkvjV49vYVG,134447
25,0.787,0.727,-7.194,0.265,0.000997,0.376,0.21,141.52,spotify:track:0wxwXyrJYHyGUKlBaCIhgp,140038
26,0.705,0.648,-10.467,0.141,0.00476,0.373,0.3979999999999999,130.037,spotify:track:0vUhboOWxdj97denl4T91p,155350
27,0.69,0.76,-5.431,0.0895,0.0525,0.134,0.0797,125.013,spotify:track:6xEnbXM1us9fDJy2LC0lru,154929
28,0.799,0.966,-4.586,0.366,0.089,0.6579999999999999,0.8640000000000001,139.967,spotify:track:4ZOxwKHoHlhIZPzucOUVoY,137221
29,0.936,0.476,-11.439,0.4029999999999999,0.0139,0.402,0.363,121.979,spotify:track:2AoJ1NSLrqfppo6oT5Bqc8,175543
30,0.838,0.634,-8.076,0.0931,0.00537,0.111,0.2239999999999999,114.771,spotify:track:30Q5BsSJBLb9SGm0BtuJj4,168202
31,0.964,0.51,-7.002999999999999,0.242,0.000214,0.0549,0.474,130.028,spotify:track:3Xi5SYx5pOqte5tLKHEmPb,136650
32,0.83,0.387,-12.908,0.345,0.0858,0.0926,0.561,120.006,spotify:track:2bmSQxuradc103RXzvjTkE,132193
33,0.455,0.525,-12.692,0.0455,0.136,0.125,0.2789999999999999,119.999,spotify:track:2Tu4kHEeIVFn6Re2ybm2lQ,159974
34,0.748,0.573,-9.907,0.0543,0.484,0.0929,0.193,117.962,spotify:track:0QVG9r2otIXoWCHyh09SqU,195875
35,0.745,0.688,-9.263,0.103,0.264,0.077,0.522,114.997,spotify:track:78w3kPqUAwDjADBY3xAGHl,107750
36,0.722,0.519,-12.871,0.0516,0.0253,0.1889999999999999,0.128,199.974,spotify:track:02803el8p3mKqcJzJ3Agpp,143833
37,0.657,0.473,-12.050999999999998,0.0368,0.2319999999999999,0.108,0.153,150.029,spotify:track:5Njf3sGQoxQJqcR4gUbttZ,114500
38,0.936,0.474,-9.694,0.3929999999999999,0.0213,0.111,0.168,129.999,spotify:track:7BLFY8GsDyUkaARTv0uwKH,166910
39,0.765,0.62,-7.337999999999999,0.14,0.0643,0.16,0.218,219.808,spotify:track:2bmjoUqk5ELqted5imBtMd,131350
40,0.65,0.952,-2.6860000000000004,0.5,0.0912,0.337,0.256,209.998,spotify:track:4Uk53I7Lz6bzctGoyNxf8W,122211
41,0.386,0.936,-5.551,0.604,0.1009999999999999,0.381,0.193,190.15,spotify:track:7FoW7q7uZGOHlGi9w5mUxN,197053
42,0.563,0.68,-5.952999999999999,0.39,0.236,0.122,0.0396,180.218,spotify:track:6dm3aVYUAfZtdFeLAG6R9F,110000
43,0.777,0.902,-3.915,0.349,0.0905,0.275,0.462,129.985,spotify:track:5QArbhcHhpW48U4cK3Joj9,134844
44,0.607,0.7490000000000001,-4.497,0.0728,0.0064099999999999,0.2339999999999999,0.18,121.829,spotify:track:2Bkfvi3pCcwoJwnmd45OnA,126224
45,0.628,0.573,-8.161,0.0673,0.00362,0.0874,0.0387,115.503,spotify:track:2XLdbJRfl2UHHzIurEFgAA,132702
46,0.4679999999999999,0.325,-8.267000000000001,0.245,0.115,0.109,0.0387,191.186,spotify:track:2Iwf4sAnEgkuxxnJ61du8z,90645
47,0.512,0.44,-7.816,0.233,0.00386,0.233,0.132,207.992,spotify:track:04MKRNwoX7TqQkA0ZrtMbC,86805
48,0.504,0.48,-8.885,0.045,0.8320000000000001,0.1009999999999999,0.878,173.993,spotify:track:5DV8yoddFyjLVfRT6pfAht,176901
49,0.608,0.662,-8.474,0.0338,0.0246,0.0409,0.0637,117.031,spotify:track:1XKlzwkRZmyrz2OjVqNIyl,98482
50,0.7829999999999999,0.684,-7.435,0.0358,0.00873,0.222,0.173,141.037,spotify:track:78SOPBLZeBjDQ9NVTePOPE,117447
51,0.6679999999999999,0.479,-7.321000000000001,0.0436,0.0612,0.12,0.102,162.12,spotify:track:1NJel5c5LSc9Ac7UAeoJtp,128888
52,0.528,0.617,-6.122999999999999,0.0657,0.2019999999999999,0.146,0.0356,119.047,spotify:track:18hIrODUziu3KyUxeDKlcq,199664
53,0.7959999999999999,0.7559999999999999,-2.244,0.0572,0.0059,0.128,0.0292,120.01,spotify:track:04xhIz4DiBGDECn7kIFodv,112000
54,0.299,0.381,-6.9510000000000005,0.038,0.445,0.0932,0.0392,136.46200000000002,spotify:track:6Q1LtmZPFRGNZbH6VdarBQ,234000
55,0.644,0.64,-7.877000000000001,0.0688,0.00329,0.146,0.175,217.888,spotify:track:3uvKXKQxcmjPT7letWh3Pf,125048
56,0.473,0.843,-5.981,0.225,0.00345,0.102,0.24,143.29399999999998,spotify:track:1K86gziny1mnNIisKBqzhH,183536
57,0.471,0.618,-9.965,0.108,0.0219,0.16,0.0392,110.337,spotify:track:7yvTs8trSYMtNNisA0nT73,125500
58,0.665,0.446,-14.845,0.172,0.069,0.3229999999999999,0.1169999999999999,115.282,spotify:track:3Pk6O7DndRfH1q6UFsCaWm,156048
59,0.812,0.7070000000000001,-6.815,0.0752,0.236,0.5870000000000001,0.248,219.984,spotify:track:5mPUo1HP5K4H6hepYHqbZx,175203
60,0.262,0.897,-2.712,0.3979999999999999,0.0237,0.11,0.253,199.651,spotify:track:2x7mBK5ozd9hwneRKMVpkD,153104
