,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms
0,0.831,0.8140000000000001,-7.364,1,0.42,0.0598,0.0556,0.389,156.985,124539
1,0.7190000000000001,0.493,-7.23,1,0.0794,0.401,0.118,0.124,115.08,224427
2,0.85,0.893,-4.783,1,0.0623,0.0138,0.3720000000000001,0.0391,218.05,98821
3,0.476,0.7809999999999999,-4.71,1,0.103,0.0237,0.114,0.175,186.948,123661
4,0.7979999999999999,0.624,-7.667999999999998,1,0.293,0.217,0.166,0.591,147.988,123298
5,0.721,0.568,-11.295,1,0.414,0.0452,0.128,0.109,144.915,112511
6,0.718,0.6679999999999999,-4.162,1,0.13699999999999998,0.0254,0.124,0.038,130.826,77584
7,0.6940000000000001,0.711,-5.525,1,0.221,0.0397,0.112,0.28300000000000003,138.049,127524
8,0.774,0.7509999999999999,-2.445,1,0.198,0.0614,0.0728,0.189,219.96,140326
9,0.893,0.907,-10.406,1,0.3670000000000001,0.152,0.5579999999999999,0.302,199.942,121979
10,0.8640000000000001,0.365,-10.219,1,0.0655,0.187,0.116,0.0478,189.938,101172
11,0.736,0.932,-3.726,1,0.271,0.146,0.182,0.18,124.514,115775
12,0.825,0.7609999999999999,-5.3889999999999985,1,0.104,0.0111,0.334,0.161,149.97,163371
13,0.767,0.5760000000000001,-9.683,0,0.256,0.145,0.0968,0.187,139.99,96062
14,0.765,0.726,-5.58,1,0.191,0.0077,0.619,0.27,128.014,135079
15,0.617,0.541,-4.113,1,0.78,0.125,0.369,0.43,159.996,107999
16,0.755,0.298,-15.032,1,0.0915,0.154,0.101,0.0372,199.958,123054
17,0.8140000000000001,0.575,-9.635,1,0.0635,0.172,0.109,0.28800000000000003,120.004,192833
18,0.812,0.813,-5.582999999999998,0,0.0984,0.0987,0.0758,0.348,128.066,180880
19,0.8490000000000001,0.648,-6.188,1,0.0832,0.0725,0.0984,0.196,212.15,111020
20,0.602,0.578,-5.61,1,0.0283,0.0343,0.16399999999999998,0.156,114.956,186261
21,0.8759999999999999,0.768,-6.606,1,0.201,0.112,0.28300000000000003,0.72,111.958,124676
22,0.777,0.711,-3.902,1,0.13699999999999998,0.312,0.205,0.293,139.97299999999998,153685
23,0.8290000000000001,0.59,-7.818,0,0.263,0.0391,0.114,0.332,112.97,127128
24,0.7829999999999999,0.929,0.551,0,0.0893,0.2,0.6890000000000001,0.152,118.03,134447
25,0.787,0.727,-7.194,1,0.265,0.000997,0.376,0.21,141.52,140038
26,0.705,0.648,-10.467,0,0.141,0.00476,0.373,0.398,130.037,155350
27,0.69,0.76,-5.431,1,0.0895,0.0525,0.134,0.0797,125.013,154929
28,0.799,0.966,-4.586,1,0.366,0.08900000000000001,0.6579999999999999,0.8640000000000001,139.967,137221
29,0.936,0.476,-11.439,1,0.403,0.0139,0.402,0.363,121.979,175543
30,0.838,0.634,-8.076,1,0.0931,0.005370000000000001,0.111,0.224,114.771,168202
31,0.964,0.51,-7.002999999999999,1,0.242,0.000214,0.0549,0.474,130.028,136650
32,0.83,0.387,-12.908,0,0.345,0.0858,0.0926,0.561,120.006,132193
33,0.455,0.525,-12.692,0,0.0455,0.136,0.125,0.279,119.999,159974
34,0.748,0.573,-9.907,1,0.0543,0.484,0.0929,0.193,117.962,195875
35,0.745,0.688,-9.263,0,0.103,0.264,0.077,0.522,114.997,107750
36,0.722,0.519,-12.871,1,0.0516,0.0253,0.189,0.128,199.974,143833
37,0.657,0.473,-12.050999999999998,1,0.0368,0.232,0.108,0.153,150.029,114500
38,0.936,0.474,-9.694,1,0.393,0.0213,0.111,0.168,129.999,166910
39,0.765,0.62,-7.337999999999999,0,0.14,0.0643,0.16,0.218,219.808,131350
40,0.65,0.952,-2.6860000000000004,1,0.5,0.0912,0.337,0.256,209.998,122211
41,0.386,0.936,-5.551,1,0.604,0.101,0.381,0.193,190.15,197053
42,0.563,0.68,-5.9529999999999985,1,0.39,0.236,0.122,0.0396,180.218,110000
43,0.777,0.902,-3.915,1,0.349,0.0905,0.275,0.462,129.985,134844
44,0.607,0.7490000000000001,-4.497,1,0.0728,0.006409999999999999,0.234,0.18,121.829,126224
45,0.628,0.573,-8.161,1,0.0673,0.00362,0.0874,0.0387,115.503,132702
46,0.468,0.325,-8.267000000000001,1,0.245,0.115,0.109,0.0387,191.186,90645
47,0.512,0.44,-7.816,1,0.233,0.00386,0.233,0.132,207.992,86805
48,0.504,0.48,-8.885,1,0.045,0.8320000000000001,0.101,0.878,173.993,176901
49,0.608,0.662,-8.474,1,0.0338,0.0246,0.0409,0.0637,117.031,98482
50,0.7829999999999999,0.684,-7.435,1,0.0358,0.00873,0.222,0.173,141.037,117447
51,0.6679999999999999,0.479,-7.3210000000000015,0,0.0436,0.0612,0.12,0.102,162.12,128888
52,0.528,0.617,-6.122999999999998,1,0.0657,0.202,0.146,0.0356,119.047,199664
